,Encoder-only,Autoregressive,Seq2Seq
12R,0.6278927698720713,0.5756791720569211,0.49414259019692397
13R,0.6278927698720713,0.5796679603277275,0.5205907718844329
14R,0.6278927698720713,0.5963058789708208,0.5660126491303723
15R,0.6278927698720713,0.6298332614632745,0.6267787839586029
16R,0.6278927698720713,0.6758300991806814,0.6809688083944229
17R,0.6278927698720713,0.7245579991375592,0.7365602989794452
18R,0.6278927698720713,0.7681831249101624,0.783742992669254
19R,0.6278927698720713,0.8118082506827655,0.8299195055339945
20R,0.6278927698720713,0.8579488285180393,0.8709573091849935
21R,0.6278927698720713,0.9065689233865172,0.909587465861722
22R,0.6278927698720713,0.9359637774902976,0.9386948397297685
23R,0.6278927698720713,0.9584231709070001,0.958566911024867
24R,0.6278927698720713,1.0,0.9998203248526664
