Feature,RF_Importance,XGBoost_Importance,Avg_Importance
is_early_round,0.11324594766450455,0.29106704116339444,0.2021564944139495
Team A Defender Score,0.11471918927307666,0.15994519291472548,0.13733219109390107
Team A Score_map,0.06094131197101144,0.15381788509859662,0.10737959853480403
momentum,0.11335761297279819,0.07114313225515738,0.09225037261397778
is_late_round,0.12277816161240253,0.054057648771629836,0.08841790519201619
map_encoded,0.10103199062354667,0.06052487377562301,0.08077843219958485
Team A Score_score,0.03414264774224283,0.0835176967326111,0.05883017223742697
Team B Score_map,0.08099891122606545,0.031592676972731534,0.05629579409939849
Team B Defender Score,0.07346590310534613,0.025087403361971784,0.04927665323365896
Team B Attacker Score,0.07685035335380715,0.017570389590001883,0.047210371471904516
Team A Attacker Score,0.06430246743619669,0.02877041990235638,0.046536443669276534
Team B Score_score,0.04416550301900179,0.02290563946120047,0.03353557124010113
Team A_score,0.0,0.0,0.0
Team B_score,0.0,0.0,0.0
Team A Overtime Score,0.0,0.0,0.0
Team B Overtime Score,0.0,0.0,0.0
