,Encoder-only,Autoregressive,Seq2Seq
12R,0.6278927698720713,0.5756791720569211,0.49414259019692397
13R,0.6255831275236191,0.5414559567211572,0.4771649221843271
14R,0.6225959465286761,0.5155670547649849,0.479387667097887
15R,0.6222988836184179,0.5064443486176992,0.5026112788079153
16R,0.6151358344113842,0.513745148771022,0.5217227253126347
17R,0.6079590956693156,0.5278137128072445,0.5486970985030494
18R,0.5995400316228259,0.5363662498203249,0.5678453356331752
19R,0.5885295385942216,0.5483398016386374,0.5922380336351876
20R,0.5797757654161276,0.5738464855541181,0.6134109529969815
21R,0.5666235446313066,0.6262756935460687,0.6390685640362225
22R,0.5614489003880984,0.6157826649417852,0.6332470892626132
23R,0.5541181543768866,0.5010780508840017,0.504959034066408
