,Encoder-only,Autoregressive,Seq2Seq
1R,0.6532988357050453,0.6119016817593791,0.6136265631737818
2R,0.6554549374730487,0.6032772746873653,0.6252695127210004
3R,0.6252695127210004,0.4851228978007762,0.5894782233721432
4R,0.6796032772746874,0.5510996119016818,0.40965933592065545
5R,0.6653730056058645,0.6239758516601983,0.3639499784389823
6R,0.6584734799482536,0.6334626994394136,0.38033635187580855
7R,0.6545924967658473,0.6179387667097888,0.4665804225959465
8R,0.6235446313065977,0.6032772746873653,0.48253557567917205
9R,0.6192324277705907,0.5894782233721432,0.4989219491159983
10R,0.5769728331177232,0.5506683915480811,0.4950409659335921
11R,0.56877964639931,0.5390254420008624,0.504959034066408
12R,0.5541181543768866,0.4989219491159983,0.49935316946959896
